ID,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N
I226,Destruction 1,Scene,Pixabay,3.17647058823529,1.53126987168117,102,4.31683168316832,1.77161334985548,101
I235,Destruction 2,Scene,Pixabay,2.18627450980392,1.02184449958103,102,3.05940594059406,1.77663604701817,101
I244,Doctor 3,Person,Pixabay,4.35185185185185,1.16261721197707,108,3.18269230769231,1.67079088927023,104
I253,Dog 3,Animal,Pixabay,5.74509803921569,1.01167711467274,102,3.52475247524752,1.62845975944105,101
I256,Dog 6,Animal,Pixabay,6.49019607843137,0.780265225778214,102,5.02970297029703,1.72311024339451,101
I263,Dog 13,Animal,Flickr/Waldo Jaquith,5.85294117647059,1.1379768292159,102,4.05940594059406,1.73678888859998,101
I272,Dog 22,Animal,Pixabay,5.09803921568627,1.27822435565803,102,3.88118811881188,1.58295374987945,101
I281,Dog 31,Animal,Wikipedia,2.08333333333333,1.10330853328802,108,4.20192307692308,1.97252884700777,104
I290,Eating 3,Person,Wikipedia,5.14814814814815,1.04849527084637,108,2.625,1.46272454918762,104
I299,Exercise 1,Person,Pixabay,4.70588235294118,1.16541103354621,102,3.63366336633663,1.58570345447834,101
I306,Explosion 5,Scene,Pixabay,1.82352941176471,1.30050839035502,102,5.45544554455446,1.7973577967408,101
I318,Fire 1,Person,Pixabay,4.40740740740741,1.21545374041335,108,4.35576923076923,1.70047548593544,104
I327,Fire 10,Scene,Pixabay,2.47058823529412,1.19988351210961,102,4.66336633663366,1.73365064371558,101
I336,Fireworks 3,Scene,Wikipedia,6.08823529411765,0.996060966527161,102,4.63366336633663,1.7071776256572,101
I345,Flowers 2,Object,Pixabay,5.95098039215686,1.04717867994461,102,3.45544554455446,1.79178543623531,101
I354,Food 1,Object,Pixabay,4.84313725490196,1.02198697981685,102,3.14851485148515,1.51911907771485,101
I363,Frustrated pose 2,Person,Pixabay,2.63725490196078,0.865044103337111,102,3.48514851485149,1.65899886308664,101
I372,Galaxy 2,Scene,Pixabay,5.77227722772277,1.02840836362616,101,4.4368932038835,1.91828100597763,103
I380,Garbage dump 2,Scene,Pixabay,1.60185185185185,0.784663923711361,108,3.77884615384615,1.95560797175926,104
I389,Gazing 1,Person,Pixabay,4.86274509803922,1.09036478305393,102,3.08910891089109,1.64984247672916,101
I398,Gorrila 1,Animal,Flickr/Antony Stanley,3.90740740740741,1.35023042019063,108,3.53846153846154,1.68328779605022,104
I407,Graveyard 2,Scene,Wikipedia,3.27722772277228,1.14121699848178,101,3.57281553398058,1.79652137584666,103
I425,Hangover 1,Person,Pixabay,2.41584158415842,0.930240041415905,101,3.3495145631068,1.75291766785438,103
I434,Horse 1,Animal,Pixabay,5.93518518518519,1.05257271063824,108,3.72115384615385,1.71490740087542,104
I444,Jail 3,Scene,Pixabay,2.51960784313725,1.19180694958806,102,3.9009900990099,1.85744421447886,101
I456,Lake 2,Scene,Pixabay,6.3921568627451,0.869241876865692,102,3.89108910891089,2.02435663902885,101
I463,Lake 9,Scene,Flickr/James Wheeler,6.41176470588235,0.824776491493429,102,4.10891089108911,1.91781641508779,101
I464,Lake 10,Scene,Flickr/James Wheeler,6.14705882352941,1.00884267408749,102,3.81188118811881,1.87463527805879,101
I466,Lake 12,Scene,Flickr/James Wheeler,6.37623762376238,0.870074538743835,101,4.72815533980583,1.76120599699986,103
I474,Lightning 1,Scene,Pixabay,4.85294117647059,1.17226242139904,102,4.52475247524752,1.62230736548868,101
I483,Lion 3,Animal,Flickr/arlo,4.94444444444444,1.24430165328242,108,3.78846153846154,1.71046508705683,104
I492,Miserable face 1,Person,Wikipedia,3.52475247524752,1.08253461289642,101,3.43689320388349,1.71309777265597,103
I502,Monkey 3,Animal,All-free-download.com,3.62037037037037,1.22830779874577,108,3.56730769230769,1.69959688582593,104
I511,Mother 7,Person,Pixabay,6.03960396039604,1.19933975235717,101,4.30097087378641,1.64992543774673,103
I516,Nature 1,Scene,Pixabay,6.11881188118812,0.972492968744466,101,4.42718446601942,1.7523202643284,103
I520,Neutral face 2,Person,Pixabay,4.67592592592593,0.905112206641411,108,2.18269230769231,1.39182371858996,104
I586,Office supplies 1,Object,Pixabay,4.03703703703704,0.43073347410927,108,1.88461538461538,1.2718589125187,104
I591,Opossum 1,Animal,Pixabay,3.2843137254902,1.27719875237845,102,4.06930693069307,1.79029285728662,101
I595,Paper 1,Object,Pixabay,4.15841584158416,0.484410430674789,101,1.86407766990291,1.4283443293968,103
I604,Parachuting 1,Scene,Pixabay,5.12745098039216,1.03092353700817,102,4.54455445544554,1.51343815516358,101
I613,Party 1,Person,Pixabay,4.51960784313725,0.919862152359698,102,2.94059405940594,1.4270373658613,101
I640,Police 1,Person,Pixabay,2.58823529411765,1.12885591058416,102,4.27722772277228,1.69775623621996,101
I658,Rafting 6,Person,Wikipedia,4.99074074074074,1.08080422090782,108,4.11538461538461,1.65058208213288,104
I661,Rainbow 2,Scene,Pixabay,6.25742574257426,0.95554660112979,101,4.90291262135922,1.70071820530585,103
I667,Rock climbing 4,Person,Wikipedia,4.24074074074074,1.32460800317037,108,4.23076923076923,1.80737845463184,104
I676,Rollercoaster 2,Scene,Wikipedia,5.37254901960784,1.21802931753114,102,5.11881188118812,1.42328583715901,101
I684,Rubber duck 1,Object,Pixabay,5.41176470588235,1.04694691607484,102,3.76237623762376,1.87162237030596,101
I693,Sad face 6,Person,Pixabay,3.64356435643564,1.26161926440461,101,3.76470588235294,1.79204220351335,102
I702,Sad pose 6,Person,Pixabay,3.31683168316832,1.00926401966291,101,3.19417475728155,1.69808572976486,103
I711,Scared face 3,Person,Pixabay,3.0462962962963,1.29256868983048,108,4.11538461538461,1.73657229788467,104
I720,School 5,Person,Pixabay,4.53921568627451,1.04048321435546,102,2.63366336633663,1.30171250495052,101
I729,Shark 4,Animal,Pixabay,3.07920792079208,1.11967109739273,101,4.61165048543689,1.81622863783093,103
I738,Shot 1,Object,Pixabay,2.76470588235294,1.18719630270363,102,4.21782178217822,1.81991186817406,101
I747,Sidewalk 4,Object,Pixabay,5.46078431372549,1.09609178472589,102,3.38613861386139,1.55544396896644,101
I743,Siblings 1,Person,Pixabay,6.2037037037037,1.00242005539733,108,3.98076923076923,1.86423033511019,104
I756,Skydiving 2,Person,Pixabay,5.33333333333333,1.13742224918334,102,4.6039603960396,1.72672642836549,101
I765,Sleepy pose 4,Person,Flickr/matt,3.96078431372549,0.91111474130908,102,2.52475247524752,1.48723945217938,101
I774,Snow 2,Scene,Pixabay,4.54901960784314,0.816020905629021,102,2.25742574257426,1.43981571978177,101
I783,Soldiers 2,Person,Pixabay,4.00990099009901,1.19578467547423,101,3.50485436893204,1.63823067163499,103
I792,Soup 1,Object,Pixabay,5.04950495049505,0.942085321229053,101,2.98058252427184,1.60868099985654,103
I801,Storage 2,Object,Pixabay,4.00990099009901,0.670746591567195,101,2.25242718446602,1.39127848244855,103
I810,Sunset 1,Scene,Pixabay,6.06862745098039,1.03655755402358,102,3.77227722772277,1.86483880332222,101
I819,Surgery 4,Person,Wikipedia,3.48514851485149,1.18839270770346,101,3.89320388349515,1.86249159155477,103
I827,Thunderstorm 3,Scene,Pixabay,3.96039603960396,1.32605272956401,101,4.67961165048544,1.74453540212708,103
I848,Tornado 1,Scene,Pixabay,2.09803921568627,1.11257264906028,102,5.05940594059406,1.91740335964146,101
I854,Traffic 1,Scene,Pixabay,4.62376237623762,1.13005738923751,101,4.23300970873786,1.70468721468333,103
I860,Wall 2,Object,Pixabay,4.02941176470588,0.496639845060589,102,1.69306930693069,1.23889123217033,101
I873,Weapon 1,Object,Wikipedia,2.84259259259259,1.38187220311395,108,3.79807692307692,1.77567057040655,104
I882,Wedding 9,Person,Pixabay,5.76470588235294,1.19550702271095,102,4.04950495049505,1.54516172372838,101
I899,Yoga 5,Person,Pixabay,3.45098039215686,1.53266383635006,102,3.2970297029703,1.70026206483263,101
I891,Yarn 1,Object,Pixabay,2.59803921568627,1.4709046446641,102,1.87128712871287,1.26224693571926,101
